TICKER;DATE;SIGMA;OPEN;HIGH;LOW;CLOSE;VOL;WAPRICE
MICEXINDEXCF;29.06.2012;0.033218905;1342.91;1390.08;1340.66;1387.52;;
MICEXINDEXCF;02.07.2012;0.010969211;1387.52;1406.21;1383.67;1402.74;;
MICEXINDEXCF;03.07.2012;0.024744429;1402.74;1440.67;1402.74;1437.45;;
MICEXINDEXCF;04.07.2012;0.00477234;1437.19;1446.39;1426.02;1444.31;;
MICEXINDEXCF;05.07.2012;-0.005919782;1444.3;1458.46;1430.47;1435.76;;
MICEXINDEXCF;06.07.2012;-0.014960718;1435.75;1440.94;1408.41;1414.28;;
MICEXINDEXCF;09.07.2012;0.000240405;1414.29;1423.13;1405.72;1414.62;;
MICEXINDEXCF;10.07.2012;0.005626953;1414.64;1433.56;1401.96;1422.58;;
MICEXINDEXCF;11.07.2012;-0.012252387;1422.58;1422.58;1396.72;1405.15;;
MICEXINDEXCF;12.07.2012;-0.007721596;1405.15;1406.63;1379.11;1394.3;;
MICEXINDEXCF;13.07.2012;0.015921968;1394.3;1418.29;1394.3;1416.5;;
MICEXINDEXCF;16.07.2012;0.003903989;1416.48;1423.86;1412.98;1422.03;;
MICEXINDEXCF;17.07.2012;0.005724211;1422.03;1442.17;1421.28;1430.17;;
MICEXINDEXCF;18.07.2012;-0.002712964;1430.17;1436.43;1423.79;1426.29;;
MICEXINDEXCF;19.07.2012;0.005735159;1426.29;1444.85;1426.29;1434.47;;
MICEXINDEXCF;20.07.2012;-0.013308051;1434.49;1435.62;1413.92;1415.38;;
MICEXINDEXCF;23.07.2012;-0.029963685;1415.38;1416.4;1367.71;1372.97;;
MICEXINDEXCF;24.07.2012;-0.005258673;1372.95;1382.93;1359;1365.75;;
MICEXINDEXCF;25.07.2012;0.001405821;1365.75;1385.21;1353.58;1367.67;;
MICEXINDEXCF;26.07.2012;0.011983885;1367.67;1385.44;1358.58;1384.06;;
MICEXINDEXCF;27.07.2012;0.016068668;1384.06;1406.91;1383.39;1406.3;;
MICEXINDEXCF;30.07.2012;0.015871436;1406.3;1431.17;1406.3;1428.62;;
MICEXINDEXCF;31.07.2012;-0.015119486;1428.62;1432.43;1402.05;1407.02;;
MICEXINDEXCF;01.08.2012;0.003432787;1407.01;1419.54;1401.48;1411.85;;
MICEXINDEXCF;02.08.2012;-0.0104827;1411.85;1430.95;1386.94;1397.05;;
MICEXINDEXCF;03.08.2012;0.017343688;1395.31;1422.82;1391.96;1421.28;;
MICEXINDEXCF;06.08.2012;0.01250985;1421.22;1449.31;1417.27;1439.06;;
MICEXINDEXCF;07.08.2012;0.008116409;1439.34;1451.58;1433.24;1450.74;;
MICEXINDEXCF;08.08.2012;-0.000861629;1450.81;1453.9;1438.85;1449.49;;
MICEXINDEXCF;09.08.2012;0.004774093;1449.49;1462.68;1438.94;1456.41;;
MICEXINDEXCF;10.08.2012;-0.010175706;1456.41;1456.69;1430.02;1441.59;;
MICEXINDEXCF;13.08.2012;0.007512538;1441.88;1467.19;1441.88;1452.42;;
MICEXINDEXCF;14.08.2012;0.006988337;1452.42;1464.55;1450.26;1462.57;;
MICEXINDEXCF;15.08.2012;-0.009743123;1462.57;1465.04;1433.66;1448.32;;
